Title,Authors,Published,URL,Summary
Augmenting QAOA Ansatz with Multiparameter Problem-Independent Layer,"Michelle Chalupnik, Hans Melo, Yuri Alexeev, Alexey Galda",2022-05-02,http://arxiv.org/abs/2205.01192v1,"The quantum approximate optimization algorithm (QAOA) promises to solve classically intractable computational problems in the area of combinatorial optimization. A growing amount of evidence suggests that the originally proposed form of the QAOA ansatz is not optimal, however. To address this problem, we propose an alternative ansatz, which we call QAOA+, that augments the traditional $p = 1$ QAOA ansatz with an additional multiparameter problem-independent layer. The QAOA+ ansatz allows obtaini..."
Multi-angle Quantum Approximate Optimization Algorithm,"Rebekah Herrman, Phillip C. Lotshaw, James Ostrowski, Travis S. Humble, George Siopsis",2021-09-23,http://arxiv.org/abs/2109.11455v1,"The quantum approximate optimization algorithm (QAOA) generates an approximate solution to combinatorial optimization problems using a variational ansatz circuit defined by parameterized layers of quantum evolution. In theory, the approximation improves with increasing ansatz depth but gate noise and circuit complexity undermine performance in practice. Here, we introduce a multi-angle ansatz for QAOA that reduces circuit depth and improves the approximation ratio by increasing the number of cla..."
An Expressive Ansatz for Low-Depth Quantum Approximate Optimisation,"V. Vijendran, Aritra Das, Dax Enshan Koh, Syed M. Assad, Ping Koy Lam",2023-02-09,http://arxiv.org/abs/2302.04479v2,"The quantum approximate optimisation algorithm (QAOA) is a hybrid quantum-classical algorithm used to approximately solve combinatorial optimisation problems. It involves multiple iterations of a parameterised ansatz comprising a problem and mixer Hamiltonian, with the parameters being classically optimised. While QAOA can be implemented on NISQ devices, physical limitations can limit circuit depth and decrease performance. To address these limitations, this work introduces the eXpressive QAOA (..."
Towards a universal QAOA protocol: Evidence of a scaling advantage in solving some combinatorial optimization problems,"J. A. Montanez-Barrera, Kristel Michielsen",2024-05-15,http://arxiv.org/abs/2405.09169v2,"The quantum approximate optimization algorithm (QAOA) is a promising algorithm for solving combinatorial optimization problems (COPs). In this algorithm, there are alternating layers consisting of a mixer and a problem Hamiltonian. Each layer $i=0,\ldots,p-1$ is parameterized by $\beta_i$ and $\gamma_i$. How to find these parameters has been an open question with the majority of the research focused on finding them using classical algorithms. In this work, we present evidence that fixed linear r..."
Parameter Transfer for Quantum Approximate Optimization of Weighted MaxCut,"Ruslan Shaydulin, Phillip C. Lotshaw, Jeffrey Larson, James Ostrowski, Travis S. Humble",2022-01-27,http://arxiv.org/abs/2201.11785v2,"Finding high-quality parameters is a central obstacle to using the quantum approximate optimization algorithm (QAOA). Previous work partially addresses this issue for QAOA on unweighted MaxCut problems by leveraging similarities in the objective landscape among different problem instances. However, we show that the more general weighted MaxCut problem has significantly modified objective landscapes, with a proliferation of poor local optima. Our main contribution is a simple rescaling scheme tha..."
Transferability of optimal QAOA parameters between random graphs,"Alexey Galda, Xiaoyuan Liu, Danylo Lykov, Yuri Alexeev, Ilya Safro",2021-06-14,http://arxiv.org/abs/2106.07531v1,"The Quantum approximate optimization algorithm (QAOA) is one of the most promising candidates for achieving quantum advantage through quantum-enhanced combinatorial optimization. In a typical QAOA setup, a set of quantum circuit parameters is optimized to prepare a quantum state used to find the optimal solution of a combinatorial optimization problem. Several empirical observations about optimal parameter concentration effects for special QAOA MaxCut problem instances have been made in recent l..."
Interference and Measurement: Obtaining information from the QAOA MaxCut state,"Pranjal Agarwal, Nada Ali, Mark Hillery",2025-02-20,http://arxiv.org/abs/2502.14793v1,"In using the QAOA algorithm for the MaxCut problem one encodes the number of edges connecting the sets resulting from a partition of the vertices of a graph into phases of amplitudes of a quantum state (QAOA state). One wants to use the quantum state to find partitions with large numbers of edges connecting them. In the QAOA algorithm this is done by using a mixing operation and parameter optimization. Here we want to see what can be done if we only use simple aspects of quantum mechanics, inter..."
A mixed-integer program for circuit execution time minimization with precedence constraints,"Mostafa Atallah, James Ostrowski, Rebekah Herrman",2025-04-12,http://arxiv.org/abs/2504.09268v1,"We present a mixed-integer programming (MIP) model for scheduling quantum circuits to minimize execution time. Our approach maximizes parallelism by allowing non-overlapping gates (those acting on distinct qubits) to execute simultaneously. Our methods apply to general circuits with precedence constraints. First, we derive closed-formulas for the execution time of circuits generated by ma-QAOA on star graphs for a layered, greedy, and MIP schedules. We then compare the MIP schedule against layer..."
Exploiting Symmetry Reduces the Cost of Training QAOA,"Ruslan Shaydulin, Stefan M. Wild",2021-01-25,http://arxiv.org/abs/2101.10296v3,A promising approach to the practical application of the Quantum Approximate Optimization Algorithm (QAOA) is finding QAOA parameters classically in simulation and sampling the solutions from QAOA with optimized parameters on a quantum computer. Doing so requires repeated evaluations of QAOA energy in simulation. We propose a novel approach for accelerating the evaluation of QAOA energy by leveraging the symmetry of the problem. We show a connection between classical symmetries of the objective ...
Quantum Approximate Optimization Algorithm applied to the binary perceptron,"Pietro Torta, Glen B. Mbeng, Carlo Baldassi, Riccardo Zecchina, Giuseppe E. Santoro",2021-12-19,http://arxiv.org/abs/2112.10219v1,"We apply digitized Quantum Annealing (QA) and Quantum Approximate Optimization Algorithm (QAOA) to a paradigmatic task of supervised learning in artificial neural networks: the optimization of synaptic weights for the binary perceptron. At variance with the usual QAOA applications to MaxCut, or to quantum spin-chains ground state preparation, the classical Hamiltonian is characterized by highly non-local multi-spin interactions. Yet, we provide evidence for the existence of optimal smooth soluti..."
Graph Representation Learning for Parameter Transferability in Quantum Approximate Optimization Algorithm,"Jose Falla, Quinn Langfitt, Yuri Alexeev, Ilya Safro",2024-01-12,http://arxiv.org/abs/2401.06655v2,"The quantum approximate optimization algorithm (QAOA) is one of the most promising candidates for achieving quantum advantage through quantum-enhanced combinatorial optimization. Optimal QAOA parameter concentration effects for special MaxCut problem instances have been observed, but a rigorous study of the subject is still lacking. Due to clustering of optimal QAOA parameters for MaxCut, successful parameter transferability between different MaxCut instances can be explained and predicted based..."
Sampling Frequency Thresholds for Quantum Advantage of Quantum Approximate Optimization Algorithm,"Danylo Lykov, Jonathan Wurtz, Cody Poole, Mark Saffman, Tom Noel, Yuri Alexeev",2022-06-07,http://arxiv.org/abs/2206.03579v2,"In this work, we compare the performance of the Quantum Approximate Optimization Algorithm (QAOA) with state-of-the-art classical solvers such as Gurobi and MQLib to solve the combinatorial optimization problem MaxCut on 3-regular graphs. The goal is to identify under which conditions QAOA can achieve ""quantum advantage"" over classical algorithms, in terms of both solution quality and time to solution. One might be able to achieve quantum advantage on hundreds of qubits and moderate depth $p$ by..."
On constant-time quantum annealing and guaranteed approximations for graph optimization problems,"Arthur Braida, Simon Martiel, Ioan Todinca",2022-02-03,http://arxiv.org/abs/2202.01636v1,"Quantum Annealing (QA) is a computational framework where a quantum system's continuous evolution is used to find the global minimum of an objective function over an unstructured search space. It can be seen as a general metaheuristic for optimization problems, including NP-hard ones if we allow an exponentially large running time. While QA is widely studied from a heuristic point of view, little is known about theoretical guarantees on the quality of the solutions obtained in polynomial time.  ..."
Classically optimal variational quantum algorithms,"Jonathan Wurtz, Peter Love",2021-03-31,http://arxiv.org/abs/2103.17065v1,"Hybrid quantum-classical algorithms, such as variational quantum algorithms (VQA), are suitable for implementation on NISQ computers. In this Letter we expand an implicit step of VQAs: the classical pre-computation subroutine which can non-trivially use classical algorithms to simplify, transform, or specify problem instance-specific variational quantum circuits. In VQA there is a trade-off between quality of solution and difficulty of circuit construction and optimization. In one extreme, we fi..."
The fixed angle conjecture for QAOA on regular MaxCut graphs,"Jonathan Wurtz, Danylo Lykov",2021-07-01,http://arxiv.org/abs/2107.00677v2,"The quantum approximate optimization algorithm (QAOA) is a near-term combinatorial optimization algorithm suitable for noisy quantum devices. However, little is known about performance guarantees for $p>2$. A recent work \cite{Wurtz_guarantee} computing MaxCut performance guarantees for 3-regular graphs conjectures that any $d$-regular graph evaluated at particular fixed angles has an approximation ratio greater than some worst-case guarantee. In this work, we provide numerical evidence for this..."
Investigating the effect of circuit cutting in QAOA for the MaxCut problem on NISQ devices,"Marvin Bechtold, Johanna Barzen, Frank Leymann, Alexander Mandl, Julian Obst, Felix Truger, Benjamin Weder",2023-02-03,http://arxiv.org/abs/2302.01792v2,"Noisy Intermediate-Scale Quantum (NISQ) devices are restricted by their limited number of qubits and their short decoherence times. An approach addressing these problems is quantum circuit cutting. It decomposes the execution of a large quantum circuit into the execution of multiple smaller quantum circuits with additional classical postprocessing. Since these smaller quantum circuits require fewer qubits and gates, they are more suitable for NISQ devices. To investigate the effect of quantum ci..."
Quantum Approximate Optimization Algorithm with Cat Qubits,"Pontus Vikstål, Laura García-Álvarez, Shruti Puri, Giulia Ferrini",2023-05-09,http://arxiv.org/abs/2305.05556v2,"The Quantum Approximate Optimization Algorithm (QAOA) -- one of the leading algorithms for applications on intermediate-scale quantum processors -- is designed to provide approximate solutions to combinatorial optimization problems with shallow quantum circuits. Here, we study QAOA implementations with cat qubits, using coherent states with opposite amplitudes. The dominant noise mechanism, i.e., photon losses, results in $Z$-biased noise with this encoding. We consider in particular an implemen..."
Standalone FPGA-Based QAOA Emulator for Weighted-MaxCut on Embedded Devices,"Seonghyun Choi, Kyeongwon Lee, Jae-Jin Lee, Woojoo Lee",2025-02-16,http://arxiv.org/abs/2502.11316v2,"Quantum computing QC emulation is crucial for advancing QC applications, especially given the scalability constraints of current devices. FPGA-based designs offer an efficient and scalable alternative to traditional large-scale platforms, but most are tightly integrated with high-performance systems, limiting their use in mobile and edge environments. This study introduces a compact, standalone FPGA-based QC emulator designed for embedded systems, leveraging the Quantum Approximate Optimization ..."
Graph neural network initialisation of quantum approximate optimisation,"Nishant Jain, Brian Coyle, Elham Kashefi, Niraj Kumar",2021-11-04,http://arxiv.org/abs/2111.03016v3,"Approximate combinatorial optimisation has emerged as one of the most promising application areas for quantum computers, particularly those in the near term. In this work, we focus on the quantum approximate optimisation algorithm (QAOA) for solving the MaxCut problem. Specifically, we address two problems in the QAOA, how to initialise the algorithm, and how to subsequently train the parameters to find an optimal solution. For the former, we propose graph neural networks (GNNs) as a warm-starti..."
Warm Start Adaptive-Bias Quantum Approximate Optimization Algorithm,"Yunlong Yu, Xiang-Bin Wang, Nic Shannon, Robert Joynt",2025-03-25,http://arxiv.org/abs/2503.20048v1,"In the search for quantum advantage in real--world problems, one promising avenue is to use a quantum algorithm to improve on the solution found using an efficient classical algorithm. The quantum approximate optimization algorithm (QAOA) is particularly well adapted for such a ""warm start"" approach, and can be combined with the powerful classical Goemans-Williamson (GW) algorithms based on semi-definite programming. Nonetheless, the best way to leverage the power of the QAOA remains an open que..."
An Adaptive Weighted QITE-VQE Algorithm for Combinatorial Optimization Problems,"Ningyi Xie, Xinwei Lee, Tiejin Chen, Yoshiyuki Saito, Nobuyoshi Asai, Dongsheng Cai",2025-04-14,http://arxiv.org/abs/2504.10651v1,"The variational quantum eigensolver (VQE) is a promising algorithm for finding the ground states of a given Hamiltonian. Its application to binary-formulated combinatorial optimization (CO) has been intensively studied in recent years. However, typical VQE approaches for CO problems often suffer from local minima or barren plateaus, limiting their ability to achieve optimal solutions. The quantum imaginary time evolution (QITE) offers an alternative approach for effective ground-state preparatio..."
Quantum Approximate Optimization Algorithm for MaxCut: A Fermionic View,"Zhihui Wang, Stuart Hadfield, Zhang Jiang, Eleanor G. Rieffel",2017-06-09,http://arxiv.org/abs/1706.02998v2,"Farhi et al. recently proposed a class of quantum algorithms, the Quantum Approximate Optimization Algorithm (QAOA), for approximately solving combinatorial optimization problems. A level-p QAOA circuit consists of p steps; in each step a classical Hamiltonian, derived from the cost function, is applied followed by a mixing Hamiltonian. The 2p times for which these two Hamiltonians are applied are the parameters of the algorithm, which are to be optimized classically for the best performance. As..."
Characterizing Error Mitigation by Symmetry Verification in QAOA,"Ashish Kakkar, Jeffrey Larson, Alexey Galda, Ruslan Shaydulin",2022-04-12,http://arxiv.org/abs/2204.05852v1,"Hardware errors are a major obstacle to demonstrating quantum advantage with the quantum approximate optimization algorithm (QAOA). Recently, symmetry verification has been proposed and empirically demonstrated to boost the quantum state fidelity, the expected solution quality, and the success probability of QAOA on a superconducting quantum processor. Symmetry verification uses parity checks that leverage the symmetries of the objective function to be optimized. We develop a theoretical framewo..."
Iterative-Free Quantum Approximate Optimization Algorithm Using Neural Networks,"Ohad Amosy, Tamuz Danzig, Ely Porat, Gal Chechik, Adi Makmal",2022-08-21,http://arxiv.org/abs/2208.09888v1,"The quantum approximate optimization algorithm (QAOA) is a leading iterative variational quantum algorithm for heuristically solving combinatorial optimization problems. A large portion of the computational effort in QAOA is spent by the optimization steps, which require many executions of the quantum circuit. Therefore, there is active research focusing on finding better initial circuit parameters, which would reduce the number of required iterations and hence the overall execution time. While ..."
Convergence of Digitized-Counterdiabatic QAOA: circuit depth versus free parameters,"Mara Vizzuso, Gianluca Passarelli, Giovanni Cantele, Procolo Lucignano",2023-07-26,http://arxiv.org/abs/2307.14079v4,"Recently, Digitized-Counterdiabatic (CD) Quantum Approximate Optimization Algorithm (QAOA) has been proposed to make QAOA converge to the solution of an optimization problem in fewer steps, inspired by Trotterized counterdiabatic driving in continuous-time quantum annealing. In this paper, we critically revisit this approach by focusing on the paradigmatic weighted and unweighted one-dimensional MaxCut problem. We study two variants of QAOA with first and second-order CD corrections. Our results..."
Iterative quantum optimisation with a warm-started quantum state,"Haomu Yuan, Songqinghao Yang, Crispin H. W. Barnes",2025-02-13,http://arxiv.org/abs/2502.09704v1,"We provide a method to prepare a warm-started quantum state from measurements with an iterative framework to enhance the quantum approximate optimisation algorithm (QAOA). The numerical simulations show the method can effectively address the ""stuck issue"" of the standard QAOA using a single-string warm-started initial state described in [Cain et al., 2023]. When applied to the $3$-regular MaxCut problem, our approach achieves an improved approximation ratio, with a lower bound that iteratively c..."
Performance guarantees of light-cone variational quantum algorithms for the maximum cut problem,"Xiaoyang Wang, Yuexin Su, Tongyang Li",2025-04-17,http://arxiv.org/abs/2504.12896v1,"Variational quantum algorithms (VQAs) are promising to demonstrate the advantage of near-term quantum computing over classical computing in practical applications, such as the maximum cut (MaxCut) problem. However, current VQAs such as the quantum approximate optimization algorithm (QAOA) have lower performance guarantees compared to the best-known classical algorithm, and suffer from hard optimization processes due to the barren plateau problem. We propose a light-cone VQA by choosing an optima..."
Diagnosing Barren Plateaus with Tools from Quantum Optimal Control,"Martin Larocca, Piotr Czarnik, Kunal Sharma, Gopikrishnan Muraleedharan, Patrick J. Coles, M. Cerezo",2021-05-29,http://arxiv.org/abs/2105.14377v3,"Variational Quantum Algorithms (VQAs) have received considerable attention due to their potential for achieving near-term quantum advantage. However, more work is needed to understand their scalability. One known scaling result for VQAs is barren plateaus, where certain circumstances lead to exponentially vanishing gradients. It is common folklore that problem-inspired ansatzes avoid barren plateaus, but in fact, very little is known about their gradient scaling. In this work we employ tools fro..."
Quantum annealing initialization of the quantum approximate optimization algorithm,"Stefan H. Sack, Maksym Serbyn",2021-01-14,http://arxiv.org/abs/2101.05742v3,"The quantum approximate optimization algorithm (QAOA) is a prospective near-term quantum algorithm due to its modest circuit depth and promising benchmarks. However, an external parameter optimization required in QAOA could become a performance bottleneck. This motivates studies of the optimization landscape and search for heuristic ways of parameter initialization. In this work we visualize the optimization landscape of the QAOA applied to the MaxCut problem on random graphs, demonstrating that..."
Lower Bounds on Circuit Depth of the Quantum Approximate Optimization Algorithm,"James Ostrowski, Rebekah Herrman, Travis S. Humble, George Siopsis",2020-08-04,http://arxiv.org/abs/2008.01820v2,"The quantum approximate optimization algorithm (QAOA) is a method of approximately solving combinatorial optimization problems. While QAOA is developed to solve a broad class of combinatorial optimization problems, it is not clear which classes of problems are best suited for it. One factor in demonstrating quantum advantage is the relationship between a problem instance and the circuit depth required to implement the QAOA method. As errors in NISQ devices increases exponentially with circuit de..."
Strategies for running the QAOA at hundreds of qubits,"Brandon Augustino, Madelyn Cain, Edward Farhi, Swati Gupta, Sam Gutmann, Daniel Ranard, Eugene Tang, Katherine Van Kirk",2024-10-03,http://arxiv.org/abs/2410.03015v1,"We explore strategies aimed at reducing the amount of computation, both quantum and classical, required to run the Quantum Approximate Optimization Algorithm (QAOA). First, following Wurtz et al. [Phys.Rev A 104:052419], we consider the standard QAOA with instance-independent ""tree"" parameters chosen in advance. These tree parameters are chosen to optimize the MaxCut expectation for large girth graphs. We provide extensive numerical evidence supporting the performance guarantee for tree paramete..."
Cross-Problem Parameter Transfer in Quantum Approximate Optimization Algorithm: A Machine Learning Approach,"Kien X. Nguyen, Bao Bach, Ilya Safro",2025-04-14,http://arxiv.org/abs/2504.10733v1,"Quantum Approximate Optimization Algorithm (QAOA) is one of the most promising candidates to achieve the quantum advantage in solving combinatorial optimization problems. The process of finding a good set of variational parameters in the QAOA circuit has proven to be challenging due to multiple factors, such as barren plateaus. As a result, there is growing interest in exploiting parameter transferability, where parameter sets optimized for one problem instance are transferred to another that co..."
Conditional Diffusion-based Parameter Generation for Quantum Approximate Optimization Algorithm,"Fanxu Meng, Xiangzhen Zhou, Pengcheng Zhu, Yu Luo",2024-07-17,http://arxiv.org/abs/2407.12242v4,"The Quantum Approximate Optimization Algorithm (QAOA) is a hybrid quantum-classical algorithm that shows promise in efficiently solving the MaxCut problem, a representative example of combinatorial optimization. However, its effectiveness heavily depends on the parameter optimization pipeline, where the parameter initialization strategy is nontrivial due to the non-convex and complex optimization landscapes characterized by issues with low-quality local minima. Recent inspiration comes from the ..."
Mixer Hamiltonian with QAOA for Max k-coloring : numerical evaluations,"Eric Bourreau, Gérard Fleury, Philippe Lacomme",2022-07-23,http://arxiv.org/abs/2207.11520v1,This paper concerns quantum heuristics based on Mixer Hamiltonians that allow to restrict investigation on a specific subspace. Mixer Hamiltonian based approaches can be included in QAOA algorithm and we can state that Mixer Hamiltonians are mapping functions from the set of qubit-strings to the set of solutions. Mixer Hamiltonian offers an approach very similar to indirect representations commonly used in routing or in scheduling community for decades. After the initial publication of Cheng et ...
Accelerated VQE: Parameter Recycling for Similar Recurring Problem Instances,"Tobias Rohe, Maximilian Balthasar Mansky, Michael Kölle, Jonas Stein, Leo Sünkel, Claudia Linnhoff-Popien",2025-03-28,http://arxiv.org/abs/2503.22590v1,"Training the Variational Quantum Eigensolver (VQE) is a task that requires substantial compute. We propose the use of concepts from transfer learning to considerably reduce the training time when solving similar problem instances. We demonstrate that its utilisation leads to accelerated convergence and provides a similar quality of results compared to circuits with parameters initialised around zero. Further, transfer learning works better when the distance between the source-solution is close t..."
Accelerating Quantum Approximate Optimization Algorithm using Machine Learning,"Mahabubul Alam, Abdullah Ash-Saki, Swaroop Ghosh",2020-02-04,http://arxiv.org/abs/2002.01089v2,"We propose a machine learning based approach to accelerate quantum approximate optimization algorithm (QAOA) implementation which is a promising quantum-classical hybrid algorithm to prove the so-called quantum supremacy. In QAOA, a parametric quantum circuit and a classical optimizer iterates in a closed loop to solve hard combinatorial optimization problems. The performance of QAOA improves with increasing number of stages (depth) in the quantum circuit. However, two new parameters are introdu..."
Obfuscating Quantum Hybrid-Classical Algorithms for Security and Privacy,"Suryansh Upadhyay, Swaroop Ghosh",2023-05-03,http://arxiv.org/abs/2305.02379v1,As the quantum computing ecosystem grows in popularity and utility it is important to identify and address the security and privacy vulnerabilities before they can be widely exploited. One major concern is the involvement of third party tools and hardware. Usage of untrusted hardware could present the risk of intellectual property (IP) theft. For example the hybrid quantum classical algorithms like QAOA encodes the graph properties e.g. number of nodes edges and connectivity in the parameterized...
Similarity-Based Parameter Transferability in the Quantum Approximate Optimization Algorithm,"Alexey Galda, Eesh Gupta, Jose Falla, Xiaoyuan Liu, Danylo Lykov, Yuri Alexeev, Ilya Safro",2023-07-11,http://arxiv.org/abs/2307.05420v1,"The quantum approximate optimization algorithm (QAOA) is one of the most promising candidates for achieving quantum advantage through quantum-enhanced combinatorial optimization. A near-optimal solution to the combinatorial optimization problem is achieved by preparing a quantum state through the optimization of quantum circuit parameters. Optimal QAOA parameter concentration effects for special MaxCut problem instances have been observed, but a rigorous study of the subject is still lacking. In..."
Grover Mixers for QAOA: Shifting Complexity from Mixer Design to State Preparation,"Andreas Bärtschi, Stephan Eidenbenz",2020-05-30,http://arxiv.org/abs/2006.00354v2,"We propose GM-QAOA, a variation of the Quantum Alternating Operator Ansatz (QAOA) that uses Grover-like selective phase shift mixing operators. GM-QAOA works on any NP optimization problem for which it is possible to efficiently prepare an equal superposition of all feasible solutions; it is designed to perform particularly well for constraint optimization problems, where not all possible variable assignments are feasible solutions. GM-QAOA has the following features: (i) It is not susceptible t..."
Obstacles to State Preparation and Variational Optimization from Symmetry Protection,"Sergey Bravyi, Alexander Kliesch, Robert Koenig, Eugene Tang",2019-10-20,http://arxiv.org/abs/1910.08980v1,"Local Hamiltonians with topological quantum order exhibit highly entangled ground states that cannot be prepared by shallow quantum circuits. Here, we show that this property may extend to all low-energy states in the presence of an on-site $\mathbb{Z}_2$ symmetry. This proves a version of the No Low-Energy Trivial States (NLTS) conjecture for a family of local Hamiltonians with symmetry protected topological order. A surprising consequence of this result is that the Goemans-Williamson algorithm..."
Quantum Observables for continuous control of the Quantum Approximate Optimization Algorithm via Reinforcement Learning,"Artur Garcia-Saez, Jordi Riu",2019-11-21,http://arxiv.org/abs/1911.09682v1,We present a classical control mechanism for Quantum devices using Reinforcement Learning. Our strategy is applied to the Quantum Approximate Optimization Algorithm (QAOA) in order to optimize an objective function that encodes a solution to a hard combinatorial problem. This method provides optimal control of the Quantum device following a reformulation of QAOA as an environment where an autonomous classical agent interacts and performs actions to achieve higher rewards. This formulation allows...
Planning for Compilation of a Quantum Algorithm for Graph Coloring,"Minh Do, Zhihui Wang, Bryan O'Gorman, Davide Venturelli, Eleanor Rieffel, Jeremy Frank",2020-02-23,http://arxiv.org/abs/2002.10917v1,"The problem of compiling general quantum algorithms for implementation on near-term quantum processors has been introduced to the AI community. Previous work demonstrated that temporal planning is an attractive approach for part of this compilationtask, specifically, the routing of circuits that implement the Quantum Alternating Operator Ansatz (QAOA) applied to the MaxCut problem on a quantum processor architecture. In this paper, we extend the earlier work to route circuits that implement QAOA..."
Improving the Quantum Approximate Optimization Algorithm with postselection,Sami Boulebnane,2020-11-10,http://arxiv.org/abs/2011.05425v1,"Combinatorial optimization is among the main applications envisioned for near-term and fault-tolerant quantum computers. In this work, we consider a well-studied quantum algorithm for combinatorial optimization: the Quantum Approximate Optimization Algorithm (QAOA) applied to the MaxCut problem on 3-regular graphs. We explore the idea of improving the solutions returned by the simplest version of the algorithm (depth-1 QAOA) using a form of postselection that can be efficiently simulated by stat..."
Quantum Approximate Optimization Algorithm with Adaptive Bias Fields,"Yunlong Yu, Chenfeng Cao, Carter Dewey, Xiang-Bin Wang, Nic Shannon, Robert Joynt",2021-05-25,http://arxiv.org/abs/2105.11946v3,"The quantum approximate optimization algorithm (QAOA) transforms a simple many-qubit wavefunction into one which encodes a solution to a difficult classical optimization problem. It does this by optimizing the schedule according to which two unitary operators are alternately applied to the qubits. In this paper, the QAOA is modified by updating the operators themselves to include local fields, using information from the measured wavefunction at the end of one iteration step to improve the operat..."
DAPO-QAOA: An algorithm for solving combinatorial optimization problems by dynamically constructing phase operators,"Yukun Wang, ZeYang Li, Linchun Wan",2025-02-06,http://arxiv.org/abs/2502.04100v1,"The Quantum Approximate Optimization Algorithm (QAOA) is a well-known hybrid quantum-classical algorithm for combinatorial optimization problems. Improving QAOA involves enhancing its approximation ratio while addressing practical constraints of Noisy Intermediate Scale Quantum (NISQ) devices, such as minimizing the number of two-qubit gates and reducing circuit depth. Although existing research has optimized designs for phase and mixer operators to improve performance, challenges remain, partic..."
A Variational Qubit-Efficient MaxCut Heuristic Algorithm,"Yovav Tene-Cohen, Tomer Kelman, Ohad Lev, Adi Makmal",2023-08-20,http://arxiv.org/abs/2308.10383v2,"MaxCut is a key NP-Hard combinatorial optimization graph problem with extensive theoretical and industrial applications, including the Ising model and chip design. While quantum computing offers new solutions for such combinatorial challenges which are potentially better than classical schemes, with the Quantum Approximate Optimization Algorithm (QAOA) being a state-of-the-art example, its performance is currently hindered by hardware noise and limited qubit number. Here, we present a new variat..."
Comparative study of variations in quantum approximate optimization algorithms for the Traveling Salesman Problem,"Wenyang Qian, Robert A. M. Basili, Mary Eshaghian-Wilner, Ashfaq Khokhar, Glenn Luecke, James P. Vary",2023-07-14,http://arxiv.org/abs/2307.07243v1,"The Traveling Salesman Problem (TSP) is one of the most often-used NP-Hard problems in computer science to study the effectiveness of computing models and hardware platforms. In this regard, it is also heavily used as a vehicle to study the feasibility of the quantum computing paradigm for this class of problems. In this paper, we tackle the TSP using the quantum approximate optimization algorithm (QAOA) approach by formulating it as an optimization problem. By adopting an improved qubit encodin..."
Domain wall encoding of discrete variables for quantum annealing and QAOA,Nicholas Chancellor,2019-03-12,http://arxiv.org/abs/1903.05068v4,In this paper I propose a new method of encoding discrete variables into Ising model qubits for quantum optimization. The new method is based on the physics of domain walls in one dimensional Ising spin chains. I find that these encodings and the encoding of arbitrary two variable interactions is possible with only two body Ising terms. Following on from similar results for the `one hot' method of encoding discrete variables [Hadfield et. al. Algorithms 12.2 (2019): 34] I also demonstrate that i...
The Quantum Approximate Optimization Algorithm at High Depth for MaxCut on Large-Girth Regular Graphs and the Sherrington-Kirkpatrick Model,"Joao Basso, Edward Farhi, Kunal Marwaha, Benjamin Villalonga, Leo Zhou",2021-10-27,http://arxiv.org/abs/2110.14206v3,"The Quantum Approximate Optimization Algorithm (QAOA) finds approximate solutions to combinatorial optimization problems. Its performance monotonically improves with its depth $p$. We apply the QAOA to MaxCut on large-girth $D$-regular graphs. We give an iterative formula to evaluate performance for any $D$ at any depth $p$. Looking at random $D$-regular graphs, at optimal parameters and as $D$ goes to infinity, we find that the $p=11$ QAOA beats all classical algorithms (known to the authors) t..."
Qubit coupled cluster singles and doubles variational quantum eigensolver ansatz for electronic structure calculations,"Rongxin Xia, Sabre Kais",2020-05-18,http://arxiv.org/abs/2005.08451v3,"Variational quantum eigensolver (VQE) for electronic structure calculations is believed to be one major potential application of near term quantum computing. Among all proposed VQE algorithms, the unitary coupled cluster singles and doubles excitations (UCCSD) VQE ansatz has achieved high accuracy and received a lot of research interest. However, the UCCSD VQE based on fermionic excitations needs extra terms for the parity when using Jordan-Wigner transformation. Here we introduce a new VQE ansa..."
